ID,NAME,MSINI,A,PER,ECC,OM,T0,K,OTHERNAME,HD,HR,HIPP,GL,KEPID,R,DENSITY,GRAVITY
154,Kepler-54 b,,0.0626016,8.0109434,,,,,KOI-886,,,,,,0.187182,,
155,WASP-22 b,0.559004,0.0468682,3.53269,0.023,27,2454779.641,70,2MASS J03311633-2349109,,,,,,1.12,0.532,3.04114
156,PSR B1257+12 b,,0.168494,25.262,0,90,2449765.1,,,,,,,,,,
157,WASP-2 b,0.904818,0.0312729,2.1522254,0,90,2453991.514,155,GSC 00522-01199,,,,,,1.077,0.92,3.27277
158,HD 164922 b,0.357927,2.10091,1155,0.05,195,2451100,7.3,,164922,,88348,700.2,,,,0
159,Kepler-30 c,0,0.300013,60.3231,0.0111,311,2455334.736,,KOI-806,,,,,,1.09635,1.88,
160,tau Gru b,1.2147,2.51797,1311,0.07,100,2450870,19.6,,216435,8700,113044,,,,,0
161,WASP-34 b,0.581308,0.0520747,4.3176782,0.038,319.8,2454646.033,72.1,2MASS J11013589-2351382,,,,,,1.22,0.4522,3.1518
162,HD 96063 b,1.14167,1.11312,361.1,0,90,2455260,25.9,2MASS J11044445-0230475,96063,,54158,,,,,
163,HAT-P-22 b,2.14822,0.0414094,3.21222,0.016,156,2454930.794,313.3,2MASS J10224361+5007420,233731,,,,,1.08,2.11,3.66064
164,CoRoT-7 b,0.0155646,0.0171897,0.853585,0,90,2454398.077,3.5,2MASS 06434947-0103468,,,,,,0.1498,6.23249,3.03727
165,HD 5608 b,1.47372,1.98519,792.6,0.19,269,2452327,23.5,2MASS J00581422+3357031,5608,275,4552,,,,,
166,HATS-1 b,1.85957,0.0444708,3.446459,0.12,123.417,2455241.542,254.1,2MASS J11420608-2321174,,,,,,1.302,1.03,3.43517
167,HD 80606 b,3.89024,0.447343,111.4367,0.934,300.6,2454424.857,472,,80606,,45982,,,1.029,7.94618,3.98847
168,Kepler-45 b,0.510798,0.0298817,2.455239,0.11,230,2455001.441,110,KOI-254,,,,,,0.96,0.76661,3.05584
169,Kepler-68 b,0.0238819,0.061775,5.398763,0,90,2455006.857,2.63,KIC 11295426,,,,,,0.205901,3.32,3.14595
170,WASP-78 b,0.877779,0.0361391,2.17517656,0,90,2455882.359,113.8,,,,,,,1.7,0.18,
171,HD 86264 b,6.62738,2.84117,1475,0.7,306,2455172,132,,86264,,48780,,,,,0
172,HD 82943 c,1.98927,0.742817,219.5,0.359,127,2450969.868,66,,82943,,47007,,,,,0
173,GJ 581 d,0.0191104,0.217717,66.64,0.25,356,2454805.7,2.16,,,,74995,581,,,,0
174,iota Hor b,2.04683,0.92376,302.8,0.14,346,2451227,57.1,,17051,810,12653,,,,,0
175,HD 37124 d,0.68665,2.80658,1862,0.16,0,2448558,12.8,,37124,,26381,209,,,,0
176,HD 192263 b,0.639382,0.152945,24.3556,0.055,200,2450994.3,51.9,,192263,,99711,,,,,0
177,HD 204313 b,3.50088,3.07131,1920.1,0.23,298,2452111.6,57,,204313,,106006,,,,,0
178,Kepler-53 c,,0.221868,38.5583038,,,,,KOI-829,,,,,,0.282556,,
179,TrES-3 b,1.87299,0.0227178,1.30618581,0,90,2454185.91,369,GSC 03089-00929,,,,,,1.336,0.994,3.42502
180,HIP 14810 b,3.87441,0.0692271,6.673859,0.142483,159.48,2453988.253,424.329,,,,14810,,,,,0
181,Kepler-10 c,0,0.239651,45.29485,,90,2454971.686,,KOI-72,,,,,,0.198671,5,
182,HD 90156 b,0.0565295,0.249855,49.77,0.31,113,2454775.1,3.69,2MASS J10235528-2938441,90156,,50921,,,,,
183,Pr 211 b,1.84394,0.0320419,2.1451,0,90,2456013.989,299.9,2MASS J08421149+1916373,,,,,,,,
184,Kepler-6 b,0.668332,0.0456089,3.234723,0,90,2454954.486,80.9,KOI-17,,,,,,1.323,0.352,2.97182
185,24 Sex c,1.51716,2.24032,910,0.412,172,2454941,23.5,2MASS J10232836-0054079,90043,,50887,,,,,
186,HD 60532 c,2.46312,1.57999,604,0.02,151,2453732,46.4,,60532,2906,36795,279,,,,0
187,HD 68988 b,1.79992,0.0692771,6.27711,0.1249,31.4,2451548.84,184.7,,68988,,40687,,,,,0
188,Kepler-84 b,,0.107552,12.883,,,,,KOI-1589,,,,,,0.211,,
189,HAT-P-26 b,0.0586313,0.0478684,4.234516,0.124,54,2455304.319,8.5,2MASS J14123753+0403359,,,,,,0.565,0.4,2.658
190,Kepler-20 e,0,0.063351,6.098493,0,,2454968.934,,KOI-70,,,,,,0.0773688,0,4.38945
191,HD 149143 b,1.32811,0.0530508,4.072,0.016,0,2453483.9,149.6,,149143,,81022,,,,,0
192,Kepler-62 d,,0.119499,18.16406,0.0948683,108.435,2455014.579,,KOI-701,,,,,,0.173812,,
193,HD 79498 b,1.34632,3.13296,1966.1,0.59,221,2453210.9,26,2MASS J09150941+2322323,79498,,45406,,,,,
194,HD 181433 c,0.640416,1.75604,962,0.28,21.4,2453235,16.2,,181433,,95467,756.1,,,,0
195,70 Vir b,7.46144,0.483601,116.6884,0.4007,358.71,2447239.82,316.3,,117176,5072,65721,512.1,,,,0
196,HD 102365 b,0.0509774,0.463328,122.1,0.34,105,2450129,2.4,2MASS J11463107-4030013,102365,4523,57443,,,,,
197,BD -08 2823 b,0.045941,0.0558236,5.6,0.15,30,2454637.7,6.5,LTT 3669,,,49067,,,,,
198,CoRoT-11 b,2.33146,0.0440549,2.99433,0,90,2454597.679,280,2MASS 18424494+0556156,,,,,,1.43,0.99,3.45329
199,GJ 436 b,0.0725512,0.0287188,2.64385,0.16,351,2451551.716,18.34,,,,57087,436,,0.3767,1.69,3.10603
200,HD 41004 B b,18.4135,0.0176759,1.3283,0.081,178.5,2452434.88,6114,,41004,,28393,,,,,0
201,WASP-37 b,1.79324,0.0446312,3.577469,0,90,2455338.619,250.7,2MASS J14474655+0103538,,,,,,1.16,1.5295,3.51446
202,HD 6718 b,1.5591,3.55427,2496,0.1,286,2454357,24.1,2MASS J01074866-0814012,6718,,5301,,,,,
203,HD 33636 b,9.26951,3.26519,2127.7,0.4805,339.5,2451205.8,164.2,,33636,,24205,,,,,0
204,HAT-P-40 b,0.619927,0.060845,4.457243,0,90,2455813.176,58.1,,,,,,,1.73,0.15,2.70786
205,HD 240237 b,5.31949,1.91887,745.7,0.4,108.1,2454292,91.5,2MASS J23173569+6038580,240237,,114840,,,,,
206,rho CrB b,1.06409,0.225692,39.8449,0.057,303,2450563.2,64.9,,143761,5968,78459,606.2,,,,0
207,HD 11977 b,7.40012,2.063,711,0.4,351.5,2451420,105,,11977,570,8928,,,,,0
208,HD 73534 b,1.06828,3.0184,1770,0.074,12,2456450,16.2,,73534,,42446,,,,,0
209,Kepler-50 c,,0.0932375,9.3761368,,,,,KOI-262,,,,,,0.248685,,
210,HD 164604 b,2.6885,1.30299,606.4,0.24,51,2452674,77,,164604,,88414,,,,,
211,OGLE-05-071L b,,3.54863,3600,,,,,,,,,,,,,
212,OGLE235-MOA53 b,,,,,,,,MOA 2003-BLG-053L b,,,,,,,,
213,HD 37124 c,0.648109,1.70993,885.5,0.125,53,2449534,15.4,,37124,,26381,209,,,,0
