ID,NAME,MSINI,A,PER,ECC,OM,T0,K,OTHERNAME,HD,HR,HIPP,GL,KEPID,R,DENSITY,GRAVITY
707,HD 190360 b,1.53512,3.97285,2915.0369,0.313105,12.9274,2453541.662,23.2383,GJ 777 A,190360,7670,98767,777,,,,0
708,HAT-P-13 c,14.2696,1.22574,446.27,0.6616,175.29,2455335.448,440,,,,,,,,,0
709,GJ 317 b,1.17505,0.953818,692.90002,0.193,344,2451639,71,LHS 2037,,,,317,,,,0
710,HD 37605 b,2.80174,0.283337,55.01307,0.6767,220.86,2453378.241,202.99,,37605,,26664,,,,,0
711,WASP-44 b,0.88769,0.0347371,2.4238039,0,90,2455434.376,138.8,2MASS J00153675-1156172,,,,,,1.14,0.458647,3.23135
712,CoRoT-12 b,0.916321,0.0401409,2.828042,0.07,105,2454398.717,125.5,2MASS J06430376-0117471,,,,,,1.44,0.41097,3.04508
713,CoRoT-1 b,1.02603,0.0253191,1.5089557,0,90,2454159.453,188,GSC 04804-02268,,,,,,1.49,0.38,3.0586
714,HD 125612 c,0.0580667,0.0522124,4.15474,0.27499,103.511,2454420.173,7.165,,125612,,70123,,,,,0
715,GJ 581 b,0.0499019,0.0406125,5.36865,0.031,251,2454753.95,12.65,,,,74995,581,,,,0
716,HD 102117 b,0.169756,0.152077,20.8133,0.121,279,2450942.2,11.98,,102117,,57291,,,,,0
717,HD 189733 b,1.14039,0.0309953,2.21857567,0,90,2454279.437,205,,189733,,98505,4130,,1.138,0.963,3.34131
718,HD 108863 b,2.76572,1.45325,443.4,0,177,2455516,45.2,2MASS J12301991+2156537,108863,,61020,,,,,
719,HD 1502 b,2.9072,1.27206,431.8,0.101,219,2455227,60.7,2MASS J00191704+1403172,1502,,1547,,,,,
720,HD 142022 b,4.46762,2.93163,1928,0.53,170,2450941,92,,142022,,79242,606.1,,,,0
721,WASP-72 b,1.40552,0.036575,2.216726,0,90,2455583.656,181.3,,,,,,,1.01,1.80336,
722,HD 212771 b,2.70016,1.16471,373.3,0.111,55,2454947,58.2,,212771,,110813,,,,,
723,HD 134987 b,1.56347,0.807929,258.18,0.233,352.7,2450071,49.5,,134987,5657,74500,579.4,,,,0
724,HD 187123 c,1.9422,4.83146,3805.6705,0.252086,242.973,2453580.036,25.4708,,187123,,97336,,,,,0
725,HD 101930 b,0.299187,0.302019,70.459999,0.11,251,2453145,18.1,,101930,,57172,,,,,0
726,Kepler-46 c,,0.280101,57.011,0.0146,298,2455053.283,,KOI-872,,,,,,,,
727,HD 131664 b,18.3282,3.17098,1951,0.638,149.7,2452060,359.5,,131664,,73408,,,,,0
728,HIP 57050 b,0.297735,0.163506,41.397,0.314,238.1,2451544.1,37.8,2MASS J11414471+4245072,,,57050,,,,,
729,Kepler-9 d,,0.0266925,1.592851,0,90,2455015.093,,KOI-377,,,,,,0.146311,,
730,Kepler-49 b,,0.0598092,7.2037945,,,,,KOI-248,,,,,,0.242446,,
731,WASP-67 b,0.418184,0.0517914,4.61442,0,90,2455824.374,56,,,,,,,1.4,0.21216,2.906
732,HD 147018 c,6.59355,1.92274,1008,0.133,226.9,2455301,141.2,,147018,,80250,,,,,0
733,Kepler-32 b,0,0.0520435,5.90124,0,90,2454974.902,,KOI-952,,,,,,0.1963,,
734,HD 92788 b,3.56392,0.951142,325.81,0.334,276.4,2450759.2,106,,92788,,52409,,,,,0
735,Kepler-83 c,,0.125924,20.09,,,,,KOI-898,,,,,,0.211,,
736,CoRoT-26 b,0.478732,0.052477,4.20474,0,90,2454573.63,56.9,2MASS 18390012+0658112,,,,,,1.26,0.28,2.87739
737,HAT-P-12 b,0.210772,0.0383737,3.2130598,0,90,2454419.196,35.8,,,,,,,0.959,0.295,2.75429
738,HD 154857 b,2.33267,1.29206,409,0.47,59,2450346,50.4,,154857,,84069,,,,,0
739,Kepler-25 c,0,0.113953,12.720359,0,90,2454986.087,,KOI-244,,,,,,0.401105,,
740,HD 163607 b,0.768857,0.359201,75.29,0.73,78.7,2454185,51.1,2MASS J17534049+5623309,163607,,87601,,,,,
741,HATS-2 b,1.34754,0.0229834,1.354133,0,90,2455954.586,268.9,,,,,,,1.168,3.39,3.38988
742,HD 19994 b,1.32681,1.30567,466.2,0.266,346,2453757,29.3,,19994,,14954,,,,,0
743,WASP-29 b,0.242938,0.0456587,3.922727,0.03,90,2455321.215,35.6,2MASS J23513108-3954241,,,,,,0.792,0.6517,2.98109
744,OGLE-TR-182 b,1.02162,0.0513517,3.9791,0,90,2454270.572,120,USNO-B1.0 0289-00274184,,,,,,1.13,0.9415,3.29949
745,HD 85512 b,0.0113953,0.260405,58.43,0.11,178,2455250.015,0.769,2MASS J09510700-4330097,85512,,48331,,,,,
746,HD 106252 b,6.95913,2.61147,1531,0.482,292.8,2453397.5,138.8,,106252,,59610,,,,,0
747,18 Del b,10.298,2.58655,993.3,0.08,166.1,2451672,119.4,,199665,8030,103527,,,,,0
748,Kepler-54 c,,0.0822829,12.0717249,,,,,KOI-886,,,,,,0.109635,,
749,Kepler-33 b,,0.0677431,5.66793,0,90,2454964.898,,KOI-707,,,,,,0.155094,,3.59288
750,Kepler-34 b,0.22,0.86856,288.822,0.182,7.90716,2454890.1,,KOI-2459,,,,,,0.764,0.613,
751,HD 171028 b,1.98809,1.31895,550,0.59,304,2454187,60.6,BD +06 3833,171028,,,,,,,0
752,WASP-1 b,0.827536,0.0385203,2.5199449,0,90,2454005.752,109.4,GSC 02265-00107,,,,,,1.516,0.328,2.97875
753,XO-5 b,1.15082,0.0508651,4.1877537,0,90,2454485.668,145,GSC 02959-00729,,,,,,1.03,1.27,3.37381
754,HAT-P-3 b,0.595021,0.0388252,2.899703,0,90,2454218.759,89.1,GSC 0346-00819,,,,,,0.899,1.02,3.30962
755,upsilon And d,4.11582,2.52452,1278.1218,0.267395,269.685,2453937.728,66.6805,,9826,458,7513,61,,,,0
